company_name,rating,reviews,company_type,headquarters,years_old,emp_count
Adani Wilmar,4.2,1.5k,Public,Ahmedabad +155 more,25 years old,1k-5k Employees
Gabriel India,4.2,1.5k,Public,Pune +40 more,63 years old,1k-5k Employees
Laurus Labs,4.2,1.5k,Public,Hyderabad/Secunderabad +15 more,19 years old,5k-10k Employees
Adani Power,3.9,1.5k,Public,Ahmedabad +85 more,18 years old,1k-5k Employees
ABC,4,1.6k,Public,New York +103 more,81 years old,1k-5k Employees (Global)
Akums Drugs & Pharmaceuticals Limited,4.2,1.6k,Public,Delhi/NCR +29 more,20 years old,10k-50k Employees
Uflex,3.8,1.5k,Public,Noida +42 more,39 years old,5k-10k Employees
Intellect Design Arena,4.1,1.5k,Public,Chennai +27 more,13 years old,5k-10k Employees
TVS Sundram Fasteners,3.8,1.4k,Public,Chennai +42 more,62 years old,1k-5k Employees
IDBI Bank,3.7,1.4k,Public,Mumbai +283 more,60 years old,10k-50k Employees
Dr Lal PathLabs,4.3,1.4k,Public,Gurgaon/Gurugram +156 more,75 years old,1k-5k Employees
Honeywell Automation,3.8,1.4k,Public,Morris Plains +64 more,118 years old,10k-50k Employees
Spark Minda,3.9,1.4k,Public,Gurgaon +63 more,66 years old,1k-5k Employees
Wockhardt,3.9,1.4k,Public,Mumbai +77 more,25 years old,5k-10k Employees
Tata Play,4,1.4k,Public,Mumbai +195 more,18 years old,5k-10k Employees
Crisil,3.7,1.4k,Public,Mumbai +57 more,37 years old,1k-5k Employees
G R Infraprojects,4.2,1.4k,Public,Gurgaon/Gurugram +134 more,29 years old,10k-50k Employees
Microland,3.6,1.4k,Public,Bangalore +41 more,35 years old,1k-5k Employees
Matrimony.com,4.4,1.4k,Public,Chennai +51 more,27 years old,1k-5k Employees
Bharat Financial Inclusion,4.1,1.6k,Public,Hyderabad +347 more,26 years old,10k-50k Employees
Aditya Birla Capital,4,1.3k,Public,Mumbai +191 more,7 years old,10k-50k Employees
Procter & Gamble,4.2,1.3k,Public,Cincinnati +209 more,187 years old,1k-5k Employees
Dainik Bhaskar Group,4.4,1.3k,Public,Bhopal +132 more,66 years old,5k-10k Employees
USHA International,4.2,1.3k,Public,Gurgaon/Gurugram +113 more,90 years old,1k-5k Employees
Mercedes-Benz Research & Development India,4,1.3k,Public,Bengaluru/Bangalore +49 more,28 years old,5k-10k Employees
Isgec Heavy Engineering,3.9,1.3k,Public,Noida +69 more,91 years old,1k-5k Employees
Torrent Power,3.8,1.3k,Public,Ahmedabad +39 more,28 years old,5k-10k Employees
PI Industries,4.2,1.3k,Public,Gurgaon/Gurugram +88 more,77 years old,1k-5k Employees
DIVI'S Laboratories,3.9,1.3k,Public,Hyderabad/Secunderabad +23 more,34 years old,10k-50k Employees
Jindal Saw,4.1,1.3k,Public,Delhi/NCR +64 more,40 years old,5k-10k Employees
Arvind Group,4.1,1.3k,Public,Ahmedabad +81 more,93 years old,10k-50k Employees
V-Guard Industries,4.4,1.3k,Public,Kochi/Cochin +130 more,47 years old,1k-5k Employees
CG Power and Industrial Solutions,3.9,1.2k,Public,Mumbai +82 more,87 years old,1k-5k Employees
HDFC Securities,3.7,1.2k,Public,Mumbai +163 more,24 years old,1k-5k Employees
Relaxo Footwear,4.3,1.2k,Public,New Delhi +127 more,40 years old,5k-10k Employees
Biocon Biologics,3.8,1.2k,Public,Bangalore/Bengaluru +30 more,46 years old,1k-5k Employees
Security and Intelligence Services (India),4.2,1.2k,Public,Delhi/NCR +160 more,39 years old,1 Lakh+ Employees
Oracle Cerner,3.7,1.2k,Public,Kansas +5 more,45 years old,5k-10k Employees
Emami,4.1,1.2k,Public,Kolkata +150 more,50 years old,1k-5k Employees
Bata,3.9,1.2k,Public,Lausanne +119 more,93 years old,1k-5k Employees
Hindustan Construction Company,4.3,1.2k,Public,Mumbai +84 more,98 years old,1k-5k Employees
Tata Power,4,1.2k,Public,Mumbai +120 more,109 years old,10k-50k Employees
Trident Group,3.5,1.2k,Public,Ludhiana +44 more,34 years old,10k-50k Employees
Trent,4.1,1.2k,Public,Mumbai +109 more,26 years old,10k-50k Employees
L.G.Balakrishnan & Bros,3.7,1.2k,Public,Coimbatore +39 more,87 years old,1k-5k Employees
Marico,4.1,1.2k,Public,Mumbai +150 more,36 years old,1k-5k Employees
NIIT,3.7,1.2k,Public,Gurgaon / Gurugram +95 more,43 years old,1k-5k Employees
Infinite Computer Solutions,3.5,1.2k,Public,Rockville  +28 more,23 years old,1k-5k Employees
Muthoot Group,3.6,1.1k,Public,Wedel +271 more,137 years old,10k-50k Employees
Sony,4.4,1.1k,Public,Delhi/NCR +128 more,30 years old,1k-5k Employees
